,player_id,player_display_name,headshot_url,position,team,games_played,total_fantasy_ppr,avg_fantasy_ppr,std_fantasy_ppr,total_passing_yards,total_passing_tds,total_passing_2pt_conversions,total_rushing_yards,total_rushing_tds,total_carries,total_rushing_2pt_conversions,total_targets,total_receptions,total_receiving_yards,total_receiving_tds,total_interceptions,total_fumbles_lost
0,00-0033280,Christian McCaffrey,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/resjdwihunsqckohcorj",RB,SF,16,404.9,25.30625,7.7804428965622945,0,0,0,1179,10,303,0,122,96,890,7,0,0
1,00-0034857,Josh Allen,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/servs1fpsynfxep4rz2z",QB,BUF,16,364.62,22.78875,10.404942335255877,3668,25,1,579,14,112,0,0,0,0,0,10,3
2,00-0038542,Bijan Robinson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rjaf9auhx3lrktzgwpfb",RB,ATL,16,363.5,22.71875,9.865780506376572,0,0,0,1445,7,272,1,100,76,810,4,0,3
3,00-0036223,Jonathan Taylor,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uwmnrhwtwug0wrgkomjk",RB,IND,16,356.4,22.275,12.177273914961429,0,0,0,1559,18,309,1,53,44,365,2,0,1
4,00-0039075,Puka Nacua,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zvi4hdm6fywcekfe7ceb",WR,LA,15,349.0,23.266666666666666,10.543424942769287,0,0,0,81,1,8,0,155,119,1639,9,0,1
5,00-0039139,Jahmyr Gibbs,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hjxk3judytgsxkqiilre",RB,DET,16,346.6,21.6625,13.966668655528895,0,0,0,1143,13,224,0,89,74,583,4,0,1
6,00-0038543,Jaxon Smith-Njigba,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jpvhsregfvw46mlyckzj",WR,SEA,16,345.5,21.59375,7.513496190190024,0,0,0,36,0,7,0,155,113,1709,10,0,1
7,00-0039851,Drake Maye,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyap81gtzcvnfmripis1",QB,NE,16,336.22,21.01375,5.405970618985394,4203,30,1,409,4,98,1,1,1,2,0,8,3
8,00-0026498,Matthew Stafford,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",QB,LA,16,323.71999999999997,20.232499999999998,7.026232276263004,4448,42,0,-2,0,28,0,0,0,0,0,8,3
9,00-0039040,De'Von Achane,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu",RB,MIA,16,322.8,20.175,7.015364091288016,0,0,0,1350,8,238,0,85,67,488,4,0,0
