,player_id,player_display_name,headshot_url,position,team,opponent_team,season,week,passing_yards,passing_tds,passing_2pt_conversions,rushing_yards,rushing_tds,carries,rushing_2pt_conversions,targets,receptions,receiving_yards,receiving_tds,passing_interceptions,sack_fumbles_lost,rushing_fumbles_lost,receiving_fumbles_lost,fantasy_points,fantasy_points_ppr
0,00-0023459,Aaron Rodgers,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",QB,PIT,NYJ,2025,1,244,4,0,-1,0,1,0,0,0,0,0,0,0,0,0,25.66,25.66
3,00-0026158,Joe Flacco,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vbqptn8emdlbeaz1kvmx",QB,CLE,CIN,2025,1,290,1,0,6,0,2,0,0,0,0,0,2,0,0,0,12.2,12.2
5,00-0026498,Matthew Stafford,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",QB,LA,HOU,2025,1,245,1,0,-2,0,4,0,0,0,0,0,0,0,0,0,13.6,13.6
15,00-0029263,Russell Wilson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vkstxj0evgkjiycu4glc",QB,NYG,WAS,2025,1,168,0,0,44,0,8,0,0,0,0,0,0,0,0,0,11.12,11.12
23,00-0030035,Adam Thielen,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pv6gajxtt6zhum2unnsl",WR,MIN,CHI,2025,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,2.0
24,00-0030061,Zach Ertz,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",TE,WAS,NYG,2025,1,0,0,0,0,0,0,0,5,3,26,1,0,0,0,0,8.6,11.6
28,00-0030279,Keenan Allen,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ri267r6lzfwarh89hsn6",WR,LAC,KC,2025,1,0,0,0,0,0,0,0,10,7,68,1,0,0,0,0,12.8,19.8
29,00-0030506,Travis Kelce,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ebc5j60djpinc9elvlc5",TE,KC,LAC,2025,1,0,0,0,0,0,0,0,4,2,47,1,0,0,0,0,10.7,12.7
30,00-0030564,DeAndre Hopkins,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/snvo6holyfdjmrlqxqxu",WR,BAL,BUF,2025,1,0,0,0,0,0,0,0,2,2,35,1,0,0,0,0,9.5,11.5
31,00-0030565,Geno Smith,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tqy0933vz5yogwlefb1s",QB,LV,NE,2025,1,362,1,0,10,0,2,0,0,0,0,0,1,0,0,0,17.48,17.48
37,00-0031236,Brandin Cooks,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/krz3gv9jjs92arlctvqf",WR,NO,ARI,2025,1,0,0,0,0,0,0,0,4,3,26,0,0,0,0,0,2.6,5.6
40,00-0031381,Davante Adams,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qtonvcqpixixqhc6lhnc",WR,LA,HOU,2025,1,0,0,0,0,0,0,0,8,4,51,0,0,0,0,0,5.1,9.1
41,00-0031408,Mike Evans,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yaxorbdsvk1ucfuiyrkj",WR,TB,ATL,2025,1,0,0,0,0,0,0,0,8,5,51,0,0,0,0,0,5.1,10.1
48,00-0031588,Stefon Diggs,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cemcexmscsarpvwhafln",WR,NE,LV,2025,1,0,0,0,0,0,0,0,7,6,57,0,0,0,0,0,5.7,11.7
